Ano,Trimestre,CNPJ IF,Instituição financeira,Valor Total Tarifa
2020,1º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2020,1º,27214112,"AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2020,1º,23862762,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2020,1º,92874270,BANCO A.J. RENNER S.A.,11174.029999999999
2020,1º,3532415,BANCO ABN AMRO S.A.,500.0
2020,1º,54403563,BANCO ARBI S.A.,8687.420000000002
2020,1º,2658435,BANCO CATERPILLAR S.A.,13100.0
2020,1º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2020,1º,8357240,BANCO CSF S.A.,0
2020,1º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2020,1º,27098060,BANCO DIGIO S.A.,5000.0
2020,1º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2020,1º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2020,1º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2020,1º,58616418,BANCO FIBRA S.A.,26772.96
2020,1º,4866275,BANCO INBURSA S.A.,0.0
2020,1º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2020,1º,7441209,BANCO MONEO S.A.,27890.0
2020,1º,795423,BANCO SEMEAR S.A.,53816.0
2020,1º,7679404,BANCO TOPÁZIO S.A.,116804.4
2020,1º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2020,1º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2020,1º,9526594,BANCO VIPAL S.A.,0.0
2020,1º,10264663,BANCOSEGURO S.A.,0
2020,1º,45283173,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,0.0
2020,1º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2020,1º,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,21622.3
2020,1º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2020,1º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2020,1º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,1º,6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1585.0
2020,1º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2020,1º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,1º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2020,1º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2020,1º,43180355,"PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2020,1º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2020,1º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2020,1º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2020,1º,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1020.0
2020,1º,7747410,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",200.0
2020,1º,29030467,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO,2670.0
2020,1º,11970623,"SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",11517.59
2020,1º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2020,1º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2020,2º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2020,2º,27214112,"AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2020,2º,23862762,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2020,2º,54403563,BANCO ARBI S.A.,8687.420000000002
2020,2º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2020,2º,8357240,BANCO CSF S.A.,0
2020,2º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2020,2º,33042151,BANCO DE LA NACION ARGENTINA,3065.04
2020,2º,5040481,BANCO DE LAGE LANDEN BRASIL S.A.,7103.0
2020,2º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2020,2º,27098060,BANCO DIGIO S.A.,5000.0
2020,2º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2020,2º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2020,2º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2020,2º,58616418,BANCO FIBRA S.A.,26772.96
2020,2º,61348538,BANCO FICSA S.A.,0.0
2020,2º,90731688,BANCO FORD S.A.,0
2020,2º,4866275,BANCO INBURSA S.A.,0.0
2020,2º,91884981,BANCO JOHN DEERE S.A.,7500.0
2020,2º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2020,2º,7441209,BANCO MONEO S.A.,27890.0
2020,2º,78632767,BANCO OURINVEST S.A.,41237.9
2020,2º,517645,BANCO RIBEIRAO PRETO S.A.,27985.16
2020,2º,795423,BANCO SEMEAR S.A.,53816.0
2020,2º,7679404,BANCO TOPÁZIO S.A.,116804.4
2020,2º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2020,2º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2020,2º,57839805,BANCO TRICURY S.A.,237.11
2020,2º,45283173,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,0.0
2020,2º,20443996,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",21600.0
2020,2º,11285104,"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",143050.0
2020,2º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2020,2º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2020,2º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2020,2º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,2º,6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1585.0
2020,2º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2020,2º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,2º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2020,2º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2020,2º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2020,2º,43180355,"PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2020,2º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2020,2º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2020,2º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2020,2º,7747410,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",200.0
2020,2º,11970623,"SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",11517.59
2020,2º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2020,2º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2020,3º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2020,3º,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2020,3º,23862762,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2020,3º,3532415,BANCO ABN AMRO S.A.,500.0
2020,3º,54403563,BANCO ARBI S.A.,8687.420000000002
2020,3º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2020,3º,8357240,BANCO CSF S.A.,0
2020,3º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2020,3º,33042151,BANCO DE LA NACION ARGENTINA,3065.04
2020,3º,5040481,BANCO DE LAGE LANDEN BRASIL S.A.,7103.0
2020,3º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2020,3º,27098060,BANCO DIGIO S.A.,5000.0
2020,3º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2020,3º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2020,3º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2020,3º,58616418,BANCO FIBRA S.A.,26772.96
2020,3º,90731688,BANCO FORD S.A.,0
2020,3º,4866275,BANCO INBURSA S.A.,0.0
2020,3º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2020,3º,7441209,BANCO MONEO S.A.,27890.0
2020,3º,78632767,BANCO OURINVEST S.A.,41237.9
2020,3º,61820817,BANCO PAULISTA S.A.,5326.0
2020,3º,517645,BANCO RIBEIRAO PRETO S.A.,27985.16
2020,3º,795423,BANCO SEMEAR S.A.,53816.0
2020,3º,7679404,BANCO TOPÁZIO S.A.,116804.4
2020,3º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2020,3º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2020,3º,45283173,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,0.0
2020,3º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2020,3º,5676026,"CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",600.0
2020,3º,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,21622.3
2020,3º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2020,3º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2020,3º,6339468,"GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",15.0
2020,3º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,3º,6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1585.0
2020,3º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2020,3º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,3º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2020,3º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2020,3º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2020,3º,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2020,3º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2020,3º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2020,3º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2020,3º,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1020.0
2020,3º,7747410,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",200.0
2020,3º,11970623,"SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",11517.59
2020,3º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2020,3º,9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3500.0
2020,3º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2020,4º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2020,4º,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2020,4º,3532415,BANCO ABN AMRO S.A.,500.0
2020,4º,54403563,BANCO ARBI S.A.,8687.420000000002
2020,4º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2020,4º,8357240,BANCO CSF S.A.,0
2020,4º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2020,4º,5040481,BANCO DE LAGE LANDEN BRASIL S.A.,7103.0
2020,4º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2020,4º,27098060,BANCO DIGIO S.A.,5000.0
2020,4º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2020,4º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2020,4º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2020,4º,58616418,BANCO FIBRA S.A.,26772.96
2020,4º,4866275,BANCO INBURSA S.A.,0.0
2020,4º,91884981,BANCO JOHN DEERE S.A.,7500.0
2020,4º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2020,4º,78632767,BANCO OURINVEST S.A.,41237.9
2020,4º,517645,BANCO RIBEIRAO PRETO S.A.,27985.16
2020,4º,795423,BANCO SEMEAR S.A.,53816.0
2020,4º,11970623,BANCO SENFF S.A.,11517.59
2020,4º,7679404,BANCO TOPÁZIO S.A.,116804.4
2020,4º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2020,4º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2020,4º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2020,4º,5676026,"CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",600.0
2020,4º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2020,4º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2020,4º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,4º,6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1585.0
2020,4º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2020,4º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,4º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2020,4º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2020,4º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2020,4º,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2020,4º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2020,4º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2020,4º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2020,4º,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1020.0
2020,4º,7747410,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",200.0
2020,4º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2020,4º,9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3500.0
2020,4º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2020,4º,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2021,1º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2021,1º,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2021,1º,3532415,BANCO ABN AMRO S.A.,500.0
2021,1º,54403563,BANCO ARBI S.A.,8687.420000000002
2021,1º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2021,1º,8357240,BANCO CSF S.A.,0
2021,1º,4902979,BANCO DA AMAZONIA S.A.,2035.33
