Ano,Trimestre,CNPJ IF,Instituição financeira,Valor Total Tarifa
2021,1º,10690848,BANCO DA CHINA BRASIL S.A.,10035.5
2021,1º,5040481,BANCO DE LAGE LANDEN BRASIL S.A.,7103.0
2021,1º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2021,1º,27098060,BANCO DIGIO S.A.,5000.0
2021,1º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2021,1º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2021,1º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2021,1º,58616418,BANCO FIBRA S.A.,26772.96
2021,1º,62237425,BANCO FIDIS S/A,7542.0
2021,1º,4866275,BANCO INBURSA S.A.,0.0
2021,1º,91884981,BANCO JOHN DEERE S.A.,7500.0
2021,1º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2021,1º,78632767,BANCO OURINVEST S.A.,41237.9
2021,1º,61820817,BANCO PAULISTA S.A.,5326.0
2021,1º,795423,BANCO SEMEAR S.A.,53816.0
2021,1º,11970623,BANCO SENFF S.A.,11517.59
2021,1º,7679404,BANCO TOPÁZIO S.A.,116804.4
2021,1º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2021,1º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2021,1º,57839805,BANCO TRICURY S.A.,237.11
2021,1º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2021,1º,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,21622.3
2021,1º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2021,1º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2021,1º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,1º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2021,1º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,1º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2021,1º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2021,1º,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2021,1º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2021,1º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2021,1º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2021,1º,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1020.0
2021,1º,7747410,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",200.0
2021,1º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2021,1º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2021,1º,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2021,2º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2021,2º,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2021,2º,3532415,BANCO ABN AMRO S.A.,500.0
2021,2º,54403563,BANCO ARBI S.A.,8687.420000000002
2021,2º,15173776,BANCO CAPITAL S.A.,2438.11
2021,2º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2021,2º,8357240,BANCO CSF S.A.,0
2021,2º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2021,2º,5040481,BANCO DE LAGE LANDEN BRASIL S.A.,7103.0
2021,2º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2021,2º,27098060,BANCO DIGIO S.A.,5000.0
2021,2º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2021,2º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2021,2º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2021,2º,58616418,BANCO FIBRA S.A.,26772.96
2021,2º,62237425,BANCO FIDIS S/A,7542.0
2021,2º,90731688,BANCO FORD S.A.,0
2021,2º,4866275,BANCO INBURSA S.A.,0.0
2021,2º,91884981,BANCO JOHN DEERE S.A.,7500.0
2021,2º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2021,2º,78632767,BANCO OURINVEST S.A.,41237.9
2021,2º,61820817,BANCO PAULISTA S.A.,5326.0
2021,2º,795423,BANCO SEMEAR S.A.,53816.0
2021,2º,11970623,BANCO SENFF S.A.,11517.59
2021,2º,60518222,BANCO SUMITOMO MITSUI BRASILEIRO S.A.,8711.2
2021,2º,7679404,BANCO TOPÁZIO S.A.,116804.4
2021,2º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2021,2º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2021,2º,20443996,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",21600.0
2021,2º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2021,2º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2021,2º,36583700,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5515.0
2021,2º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2021,2º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,2º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2021,2º,7747410,M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,200.0
2021,2º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,2º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2021,2º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2021,2º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2021,2º,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2021,2º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2021,2º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2021,2º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2021,2º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2021,2º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2021,2º,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2021,3º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2021,3º,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2021,3º,3532415,BANCO ABN AMRO S.A.,500.0
2021,3º,54403563,BANCO ARBI S.A.,8687.420000000002
2021,3º,33132044,BANCO CEDULA S.A.,1604.2
2021,3º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2021,3º,8357240,BANCO CSF S.A.,0
2021,3º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2021,3º,10690848,BANCO DA CHINA BRASIL S.A.,10035.5
2021,3º,33042151,BANCO DE LA NACION ARGENTINA,3065.04
2021,3º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2021,3º,27098060,BANCO DIGIO S.A.,5000.0
2021,3º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2021,3º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2021,3º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2021,3º,58616418,BANCO FIBRA S.A.,26772.96
2021,3º,62237425,BANCO FIDIS S/A,7542.0
2021,3º,53518684,BANCO HSBC S.A.,125436.99
2021,3º,4866275,BANCO INBURSA S.A.,0.0
2021,3º,78632767,BANCO OURINVEST S.A.,41237.9
2021,3º,61820817,BANCO PAULISTA S.A.,5326.0
2021,3º,795423,BANCO SEMEAR S.A.,53816.0
2021,3º,11970623,BANCO SENFF S.A.,11517.59
2021,3º,7679404,BANCO TOPÁZIO S.A.,116804.4
2021,3º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2021,3º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2021,3º,45283173,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,0.0
2021,3º,11285104,"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",143050.0
2021,3º,12865507,"BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",101660.0
2021,3º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2021,3º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2021,3º,36583700,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5515.0
2021,3º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2021,3º,17453575,ICBC DO BRASIL BANCO MÚLTIPLO S.A.,5851.0
2021,3º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,3º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2021,3º,7747410,M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,200.0
2021,3º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,3º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2021,3º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2021,3º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2021,3º,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2021,3º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2021,3º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2021,3º,5503849,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5694.0
2021,3º,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1020.0
2021,3º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2021,3º,41498340,"TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",12.0
2021,3º,9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3500.0
2021,3º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2021,3º,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2021,4º,13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A.,0
2021,4º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2021,4º,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2021,4º,19540550,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.,0
2021,4º,3532415,BANCO ABN AMRO S.A.,500.0
2021,4º,54403563,BANCO ARBI S.A.,8687.420000000002
2021,4º,33132044,BANCO CEDULA S.A.,1604.2
2021,4º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2021,4º,8357240,BANCO CSF S.A.,0
2021,4º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2021,4º,10690848,BANCO DA CHINA BRASIL S.A.,10035.5
2021,4º,5040481,BANCO DE LAGE LANDEN BRASIL S.A.,7103.0
2021,4º,92874270,BANCO DIGIMAIS S.A.,11174.029999999999
2021,4º,27098060,BANCO DIGIO S.A.,5000.0
2021,4º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2021,4º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2021,4º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2021,4º,58616418,BANCO FIBRA S.A.,26772.96
2021,4º,31880826,BANCO GUANABARA S.A.,62610.0
2021,4º,53518684,BANCO HSBC S.A.,125436.99
2021,4º,4866275,BANCO INBURSA S.A.,0.0
2021,4º,23903068,BANCO KOMATSU DO BRASIL S.A.,6000.0
2021,4º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2021,4º,78632767,BANCO OURINVEST S.A.,41237.9
2021,4º,61820817,BANCO PAULISTA S.A.,5326.0
2021,4º,1023570,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,12000.0
2021,4º,517645,BANCO RIBEIRAO PRETO S.A.,27985.16
2021,4º,795423,BANCO SEMEAR S.A.,53816.0
2021,4º,11970623,BANCO SENFF S.A.,11517.59
2021,4º,7679404,BANCO TOPÁZIO S.A.,116804.4
2021,4º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2021,4º,13370835,BPP INSTITUIÇÃO DE PAGAMENTO S.A.,0
2021,4º,37122487,"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",300.0
2021,4º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2021,4º,13935893,CELCOIN INSTITUICAO DE PAGAMENTO S.A.,0
2021,4º,1027058,CIELO S.A.,0
2021,4º,62895230,CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO,0
2021,4º,21018182,EBANX INSTITUICAO DE PAGAMENTOS LTDA.,0
2021,4º,39321657,FACEBOOK INSTITUIÇÃO DE PAGAMENTO DO BRASIL LTDA.,0
2021,4º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2021,4º,36583700,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5515.0
2021,4º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2021,4º,13203354,FITBANK PAGAMENTOS ELETRONICOS S.A.,0
2021,4º,2732968,FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A,0
2021,4º,6339468,"GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",15.0
2021,4º,13884775,HUB PAGAMENTOS S.A,0
2021,4º,15111975,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.,0
2021,4º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,4º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
2021,4º,7747410,M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,200.0
2021,4º,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0
2021,4º,4379829,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",2025.0
2021,4º,20855875,NEON PAGAMENTOS S.A.,0
2021,4º,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,113312.0
2021,4º,3311443,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",222.0
2021,4º,10878448,PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA,0
2021,4º,43180355,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",266.84000000000003
2021,4º,1800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",14757.0
2021,4º,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",0.0
2021,4º,65697260,REPOM S.A.,0
2021,4º,122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",1020.0
2021,4º,5503849,"SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",5694.0
2021,4º,3881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1570.0
2021,4º,9473806,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3500.0
2021,4º,1722480,VERDE - ADMINISTRADORA DE CARTOES DE CREDITO S.A.,0
2021,4º,5192316,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1218.9
2021,4º,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
